00:00:00	XEROX CORPORATION
00:00:01	XEROX CORPORATION
00:00:02	XEROX CORPORATION
00:00:03	XEROX CORPORATION
00:00:04	XEROX CORPORATION
00:00:05	XEROX CORPORATION
00:00:06	XEROX CORPORATION
00:00:07	XEROX CORPORATION
00:00:08	XEROX CORPORATION
00:00:09	XEROX CORPORATION
00:00:0a	OMRON TATEISI ELECTRONICS CO.
00:00:0b	MATRIX CORPORATION
00:00:0c	CISCO SYSTEMS, INC.
00:00:0d	FIBRONICS LTD.
00:00:0e	FUJITSU LIMITED
00:00:0f	NEXT, INC.
00:00:10	SYTEK INC.
00:00:11	NORMEREL SYSTEMES
00:00:12	INFORMATION TECHNOLOGY LIMITED
00:00:13	CAMEX
00:00:14	NETRONIX
00:00:15	DATAPOINT CORPORATION
00:00:16	DU PONT PIXEL SYSTEMS     .
00:00:17	TEKELEC
00:00:18	WEBSTER COMPUTER CORPORATION
00:00:19	APPLIED DYNAMICS INTERNATIONAL
00:00:1a	ADVANCED MICRO DEVICES
00:00:1b	NOVELL INC.
00:00:1c	BELL TECHNOLOGIES
00:00:1d	CABLETRON SYSTEMS, INC.
00:00:1e	TELSIST INDUSTRIA ELECTRONICA
00:00:1f	Telco Systems, Inc.
00:00:20	DATAINDUSTRIER DIAB AB
00:00:21	SUREMAN COMP. & COMMUN. CORP.
00:00:22	VISUAL TECHNOLOGY INC.
00:00:23	ABB INDUSTRIAL SYSTEMS AB
00:00:24	CONNECT AS
00:00:25	RAMTEK CORP.
00:00:26	SHA-KEN CO., LTD.
00:00:27	JAPAN RADIO COMPANY
00:00:28	PRODIGY SYSTEMS CORPORATION
00:00:29	IMC NETWORKS CORP.
00:00:2a	TRW - SEDD/INP
00:00:2b	CRISP AUTOMATION, INC
00:00:2c	AUTOTOTE LIMITED
00:00:2d	CHROMATICS INC
00:00:2e	SOCIETE EVIRA
00:00:2f	TIMEPLEX INC.
00:00:30	VG LABORATORY SYSTEMS LTD
00:00:31	QPSX COMMUNICATIONS PTY LTD
00:00:32	Marconi plc
00:00:33	EGAN MACHINERY COMPANY
00:00:34	NETWORK RESOURCES CORPORATION
00:00:35	SPECTRAGRAPHICS CORPORATION
00:00:36	ATARI CORPORATION
00:00:37	OXFORD METRICS LIMITED
00:00:38	CSS LABS
00:00:39	TOSHIBA CORPORATION
00:00:3a	CHYRON CORPORATION
00:00:3b	i Controls, Inc.
00:00:3c	AUSPEX SYSTEMS INC.
00:00:3d	UNISYS
00:00:3e	SIMPACT
00:00:3f	SYNTREX, INC.
00:00:40	APPLICON, INC.
00:00:41	ICE CORPORATION
00:00:42	METIER MANAGEMENT SYSTEMS LTD.
00:00:43	MICRO TECHNOLOGY
00:00:44	CASTELLE CORPORATION
00:00:45	FORD AEROSPACE & COMM. CORP.
00:00:46	OLIVETTI NORTH AMERICA
00:00:47	NICOLET INSTRUMENTS CORP.
00:00:48	SEIKO EPSON CORPORATION
00:00:49	APRICOT COMPUTERS, LTD
00:00:4a	ADC CODENOLL TECHNOLOGY CORP.
00:00:4b	ICL DATA OY
00:00:4c	NEC CORPORATION
00:00:4d	DCI CORPORATION
00:00:4e	AMPEX CORPORATION
00:00:4f	LOGICRAFT, INC.
00:00:50	RADISYS CORPORATION
00:00:51	HOB ELECTRONIC GMBH & CO. KG
00:00:52	Intrusion.com, Inc.
00:00:53	COMPUCORP
00:00:54	Schnieder Electric
00:00:55	COMMISSARIAT A L`ENERGIE ATOM.
00:00:56	DR. B. STRUCK
00:00:57	SCITEX CORPORATION LTD.
00:00:58	RACORE COMPUTER PRODUCTS INC.
00:00:59	HELLIGE GMBH
00:00:5a	SysKonnect GmbH
00:00:5b	ELTEC ELEKTRONIK AG
00:00:5c	TELEMATICS INTERNATIONAL INC.
00:00:5d	CS TELECOM
00:00:5e	ICANN, IANA Department
00:00:5f	SUMITOMO ELECTRIC IND., LTD.
00:00:60	KONTRON ELEKTRONIK GMBH
00:00:61	GATEWAY COMMUNICATIONS
00:00:62	BULL HN INFORMATION SYSTEMS
00:00:63	BARCO CONTROL ROOMS GMBH
00:00:64	YOKOGAWA DIGITAL COMPUTER CORP
